date,gdpGrowth,inflation,lendingRate,demandIndex,landIndex,deliveryIndex,chip,display,memory,camera,battery,housing,phone
2024-01,5.20,0.60,4.35,100.0,100.0,100.0,26.5,15.2,9.4,12.1,8.3,7.2,129.0
2024-02,5.20,0.60,4.35,100.4,100.2,101.1,27.1,15.0,9.7,12.0,8.1,7.3,128.6
2024-03,5.20,0.60,4.35,101.0,100.3,102.4,28.3,15.6,10.1,12.8,8.7,7.6,131.4
2024-04,5.20,0.60,4.35,101.5,100.5,103.0,27.8,15.4,9.9,12.6,8.5,7.5,130.1
2024-05,5.20,0.60,4.35,102.1,100.7,103.6,29.2,16.1,10.4,13.2,8.9,7.8,133.8
2024-06,5.20,0.60,4.35,102.8,100.9,104.0,30.0,16.5,10.7,13.5,9.1,8.0,135.6
2024-07,5.20,0.60,4.35,103.0,101.1,104.3,29.4,16.2,10.5,13.1,9.0,7.9,134.2
2024-08,5.20,0.60,4.35,102.6,101.2,103.9,28.9,15.9,10.2,12.9,8.8,7.7,132.7
2024-09,5.20,0.60,4.35,103.4,101.4,104.7,29.8,16.3,10.6,13.4,9.2,8.1,136.0
2024-10,5.20,0.60,4.35,104.0,101.6,105.1,30.6,16.8,10.9,13.8,9.4,8.3,138.5
2024-11,5.20,0.60,4.35,104.6,101.8,105.5,31.2,17.1,11.2,14.1,9.6,8.5,140.2
2024-12,5.20,0.60,4.35,105.0,102.0,105.8,30.9,16.9,11.0,13.9,9.5,8.4,139.1
